Indicator,Country,Quarter,QoQ,YoY,Pre_Covid
Labour productivity (per hour worked),Germany,2020Q2,-2.79,-3.07,-2.96
Labour productivity (per hour worked),Germany,2020Q3,7.04,4.19,3.88
Labour productivity (per hour worked),Germany,2020Q4,-1.22,2.61,2.61
Labour productivity (per hour worked),Germany,2021Q1,-0.96,1.79,1.62
Labour productivity (per hour worked),Germany,2021Q2,0.17,4.89,1.79
Labour productivity (per hour worked),Germany,2021Q3,2.14,0.09,3.97
Labour productivity (per hour worked),Germany,2021Q4,-1.22,0.1,2.71
Labour productivity (per hour worked),Germany,2022Q1,-0.12,0.95,2.59
Labour productivity (per hour worked),Germany,2022Q2,0.18,0.96,2.77
Labour productivity (per hour worked),Germany,2022Q3,-0.16,-1.32,2.6
Labour productivity (per hour worked),Germany,2022Q4,0.39,0.29,3.0
Labour productivity (per hour worked),Germany,2023Q1,-1.52,-1.12,1.43
Labour productivity (per hour worked),Germany,2023Q2,-0.23,-1.53,1.2
Labour productivity (per hour worked),Germany,2023Q3,-0.05,-1.41,1.15
Labour productivity (per hour worked),Germany,2023Q4,0.6,-1.21,1.76
Labour productivity (per hour worked),Germany,2024Q1,-0.25,0.07,1.51
Labour productivity (per hour worked),Germany,2024Q2,-0.57,-0.26,0.93
Labour productivity (per hour worked),Germany,2024Q3,0.25,0.04,1.19
Labour productivity (per hour worked),Germany,2024Q4,-0.19,-0.75,1.0
Labour productivity (per hour worked),Germany,2025Q1,0.39,-0.12,1.39
Labour productivity (per hour worked),Germany,2025Q2,0.52,0.97,1.91
Labour productivity (per hour worked),Germany,2025Q3,0.06,0.78,1.98
Labour productivity (per hour worked),Germany,2025Q4,-0.78,0.18,1.18
Labour productivity (per hour worked),Germany,2026Q1,0.58,0.37,1.76
Labour productivity (per worker),Germany,2018Q1,,,0.24
Labour productivity (per worker),Germany,2018Q2,0.46,,0.7
Labour productivity (per worker),Germany,2018Q3,-0.9,,-0.21
Labour productivity (per worker),Germany,2018Q4,0.22,,0.01
Labour productivity (per worker),Germany,2019Q1,0.38,0.16,0.39
Labour productivity (per worker),Germany,2019Q2,-0.19,-0.49,0.21
Labour productivity (per worker),Germany,2019Q3,0.29,0.71,0.5
Labour productivity (per worker),Germany,2019Q4,-0.5,-0.01,0.0
Labour productivity (per worker),Germany,2020Q1,-2.09,-2.47,-2.09
Labour productivity (per worker),Germany,2020Q2,-7.64,-9.76,-9.57
Labour productivity (per worker),Germany,2020Q3,8.76,-2.14,-1.65
Labour productivity (per worker),Germany,2020Q4,0.81,-0.85,-0.85
Labour productivity (per worker),Germany,2021Q1,-0.54,0.72,-1.38
Labour productivity (per worker),Germany,2021Q2,2.11,11.36,0.7
Labour productivity (per worker),Germany,2021Q3,-0.4,1.98,0.3
Labour productivity (per worker),Germany,2021Q4,0.22,1.37,0.51
Labour productivity (per worker),Germany,2022Q1,0.26,2.19,0.77
Labour productivity (per worker),Germany,2022Q2,-0.11,-0.04,0.66
Labour productivity (per worker),Germany,2022Q3,0.13,0.49,0.79
Labour productivity (per worker),Germany,2022Q4,-0.57,-0.3,0.21
Labour productivity (per worker),Germany,2023Q1,-0.71,-1.26,-0.5
Labour productivity (per worker),Germany,2023Q2,-0.21,-1.35,-0.71
Labour productivity (per worker),Germany,2023Q3,-0.02,-1.5,-0.72
Labour productivity (per worker),Germany,2023Q4,-0.31,-1.23,-1.03
Labour productivity (per worker),Germany,2024Q1,-0.14,-0.67,-1.16
Labour productivity (per worker),Germany,2024Q2,-0.31,-0.76,-1.46
Labour productivity (per worker),Germany,2024Q3,0.06,-0.68,-1.4
Labour productivity (per worker),Germany,2024Q4,0.15,-0.22,-1.25
Labour productivity (per worker),Germany,2025Q1,0.32,0.23,-0.93
Labour productivity (per worker),Germany,2025Q2,-0.19,0.35,-1.12
Labour productivity (per worker),Germany,2025Q3,0.07,0.35,-1.05
Labour productivity (per worker),Germany,2025Q4,0.33,0.53,-0.72
Labour productivity (per worker),Germany,2026Q1,0.48,0.69,-0.25
Persons employed,Germany,2018Q1,,,-1.52
Persons employed,Germany,2018Q2,0.29,,-1.24
Persons employed,Germany,2018Q3,0.29,,-0.95
Persons employed,Germany,2018Q4,0.19,,-0.76
Persons employed,Germany,2019Q1,0.29,1.06,-0.48
Persons employed,Germany,2019Q2,0.29,1.06,-0.19
Persons employed,Germany,2019Q3,0.1,0.86,-0.1
Persons employed,Germany,2019Q4,0.1,0.77,0.0
Persons employed,Germany,2020Q1,0.1,0.57,0.1
Persons employed,Germany,2020Q2,-1.33,-1.05,-1.24
Persons employed,Germany,2020Q3,-0.1,-1.24,-1.33
Persons employed,Germany,2020Q4,0.19,-1.14,-1.14
Persons employed,Germany,2021Q1,-0.1,-1.33,-1.24
Persons employed,Germany,2021Q2,0.19,0.19,-1.05
Persons employed,Germany,2021Q3,0.48,0.77,-0.57
Persons employed,Germany,2021Q4,0.38,0.96,-0.19
Persons employed,Germany,2022Q1,0.38,1.44,0.19
Persons employed,Germany,2022Q2,0.28,1.54,0.48
Persons employed,Germany,2022Q3,0.19,1.24,0.67
Persons employed,Germany,2022Q4,0.19,1.05,0.86
Persons employed,Germany,2023Q1,0.28,0.95,1.14
Persons employed,Germany,2023Q2,0.09,0.76,1.24
Persons employed,Germany,2023Q3,0.0,0.57,1.24
Persons employed,Germany,2023Q4,0.09,0.47,1.33
Persons employed,Germany,2024Q1,0.0,0.19,1.33
Persons employed,Germany,2024Q2,0.0,0.09,1.33
Persons employed,Germany,2024Q3,0.0,0.09,1.33
Persons employed,Germany,2024Q4,0.0,0.0,1.33
Persons employed,Germany,2025Q1,0.09,0.09,1.43
Persons employed,Germany,2025Q2,0.0,0.09,1.43
Persons employed,Germany,2025Q3,-0.19,-0.09,1.24
Persons employed,Germany,2025Q4,-0.09,-0.19,1.14
Persons employed,Germany,2026Q1,-0.09,-0.37,1.05
Real gross value added,Germany,2018Q1,,,-1.05
Real gross value added,Germany,2018Q2,0.51,,-0.54
Real gross value added,Germany,2018Q3,-0.53,,-1.07
Real gross value added,Germany,2018Q4,0.67,,-0.4
Real gross value added,Germany,2019Q1,0.28,0.94,-0.12
Real gross value added,Germany,2019Q2,-0.1,0.32,-0.22
Real gross value added,Germany,2019Q3,0.37,1.23,0.15
Real gross value added,Germany,2019Q4,-0.15,0.4,0.0
Real gross value added,Germany,2020Q1,-1.74,-1.62,-1.74
Real gross value added,Germany,2020Q2,-9.61,-10.98,-11.18
Real gross value added,Germany,2020Q3,8.65,-3.64,-3.49
Real gross value added,Germany,2020Q4,0.88,-2.64,-2.64
Real gross value added,Germany,2021Q1,-0.45,-1.37,-3.08
Real gross value added,Germany,2021Q2,1.92,11.21,-1.22
Real gross value added,Germany,2021Q3,1.26,3.64,0.02
Real gross value added,Germany,2021Q4,0.49,3.24,0.51
Real gross value added,Germany,2022Q1,0.58,4.31,1.09
Real gross value added,Germany,2022Q2,-0.14,2.2,0.95
Real gross value added,Germany,2022Q3,0.57,1.5,1.52
Real gross value added,Germany,2022Q4,0.08,1.08,1.6
Real gross value added,Germany,2023Q1,-0.39,0.1,1.2
Real gross value added,Germany,2023Q2,-0.71,-0.46,0.48
Real gross value added,Germany,2023Q3,0.17,-0.86,0.65
Real gross value added,Germany,2023Q4,0.9,-0.04,1.56
Real gross value added,Germany,2024Q1,-0.76,-0.41,0.79
Real gross value added,Germany,2024Q2,-0.14,0.16,0.64
Real gross value added,Germany,2024Q3,-0.38,-0.39,0.26
Real gross value added,Germany,2024Q4,-0.28,-1.55,-0.02
Real gross value added,Germany,2025Q1,0.61,-0.19,0.59
Real gross value added,Germany,2025Q2,-0.1,-0.15,0.49
Real gross value added,Germany,2025Q3,0.01,0.24,0.5
Real gross value added,Germany,2025Q4,0.34,0.86,0.84
Real gross value added,Germany,2026Q1,0.14,0.39,0.98
Total hours worked,Germany,2018Q1,,,-1.07
Total hours worked,Germany,2018Q2,1.18,,0.1
Total hours worked,Germany,2018Q3,-0.1,,0.0
Total hours worked,Germany,2018Q4,0.58,,0.58
Total hours worked,Germany,2019Q1,-0.29,1.37,0.29
Total hours worked,Germany,2019Q2,-0.48,-0.29,-0.19
Total hours worked,Germany,2019Q3,0.78,0.58,0.58
Total hours worked,Germany,2019Q4,-0.58,-0.58,0.0
Total hours worked,Germany,2020Q1,-1.94,-2.23,-1.94
Total hours worked,Germany,2020Q2,-6.24,-7.88,-8.06
Total hours worked,Germany,2020Q3,1.58,-7.14,-6.6
Total hours worked,Germany,2020Q4,2.18,-4.56,-4.56
Total hours worked,Germany,2021Q1,0.31,-2.38,-4.27
Total hours worked,Germany,2021Q2,2.23,6.44,-2.14
Total hours worked,Germany,2021Q3,-1.98,2.7,-4.08
Total hours worked,Germany,2021Q4,1.72,2.24,-2.43
Total hours worked,Germany,2022Q1,0.8,2.74,-1.65
Total hours worked,Germany,2022Q2,0.0,0.5,-1.65
Total hours worked,Germany,2022Q3,0.49,3.04,-1.17
Total hours worked,Germany,2022Q4,-0.79,0.5,-1.94
Total hours worked,Germany,2023Q1,1.09,0.79,-0.87
Total hours worked,Germany,2023Q2,0.1,0.89,-0.78
Total hours worked,Germany,2023Q3,0.1,0.49,-0.68
Total hours worked,Germany,2023Q4,-0.88,0.4,-1.55
Total hours worked,Germany,2024Q1,0.1,-0.59,-1.46
Total hours worked,Germany,2024Q2,0.39,-0.29,-1.07
Total hours worked,Germany,2024Q3,-0.29,-0.68,-1.36
Total hours worked,Germany,2024Q4,0.39,0.59,-0.97
Total hours worked,Germany,2025Q1,0.0,0.49,-0.97
Total hours worked,Germany,2025Q2,-0.69,-0.59,-1.65
Total hours worked,Germany,2025Q3,-0.1,-0.39,-1.75
Total hours worked,Germany,2025Q4,0.99,0.2,-0.78
Total hours worked,Germany,2026Q1,-0.2,0.0,-0.97
Labour productivity (per hour worked),Ireland,2018Q1,,,-2.84
Labour productivity (per hour worked),Ireland,2018Q2,-2.25,,-5.03
Labour productivity (per hour worked),Ireland,2018Q3,2.37,,-2.77
Labour productivity (per hour worked),Ireland,2018Q4,-0.57,,-3.33
Labour productivity (per hour worked),Ireland,2019Q1,-1.01,-1.5,-4.3
Labour productivity (per hour worked),Ireland,2019Q2,1.71,2.49,-2.66
Labour productivity (per hour worked),Ireland,2019Q3,2.31,2.43,-0.42
Labour productivity (per hour worked),Ireland,2019Q4,0.42,3.44,0.0
Labour productivity (per hour worked),Ireland,2020Q1,6.56,11.35,6.56
Labour productivity (per hour worked),Ireland,2020Q2,20.08,31.46,27.96
Labour productivity (per hour worked),Ireland,2020Q3,-8.1,18.08,17.59
Labour productivity (per hour worked),Ireland,2020Q4,-2.68,14.45,14.45
Labour productivity (per hour worked),Ireland,2021Q1,15.4,23.94,32.07
Labour productivity (per hour worked),Ireland,2021Q2,-4.72,-1.66,25.84
Labour productivity (per hour worked),Ireland,2021Q3,-0.84,6.12,24.78
Labour productivity (per hour worked),Ireland,2021Q4,-4.15,4.5,19.6
Labour productivity (per hour worked),Ireland,2022Q1,0.35,-9.13,20.02
Labour productivity (per hour worked),Ireland,2022Q2,2.32,-2.41,22.81
Labour productivity (per hour worked),Ireland,2022Q3,5.33,3.66,29.35
Labour productivity (per hour worked),Ireland,2022Q4,-2.31,5.66,26.37
Labour productivity (per hour worked),Ireland,2023Q1,-7.42,-2.52,16.99
Labour productivity (per hour worked),Ireland,2023Q2,2.24,-2.61,19.61
Labour productivity (per hour worked),Ireland,2023Q3,1.06,-6.56,20.87
Labour productivity (per hour worked),Ireland,2023Q4,-3.85,-8.03,16.22
Labour productivity (per hour worked),Ireland,2024Q1,-0.32,-0.98,15.84
Labour productivity (per hour worked),Ireland,2024Q2,0.11,-3.04,15.97
Labour productivity (per hour worked),Ireland,2024Q3,6.53,2.22,23.55
Labour productivity (per hour worked),Ireland,2024Q4,1.92,8.35,25.93
Labour productivity (per hour worked),Ireland,2025Q1,6.21,15.46,33.75
Labour productivity (per hour worked),Ireland,2025Q2,-5.11,9.43,26.91
Labour productivity (per hour worked),Ireland,2025Q3,1.25,4.01,28.5
Labour productivity (per hour worked),Ireland,2025Q4,-4.35,-2.4,22.91
Labour productivity (per hour worked),Ireland,2026Q1,-5.44,-13.11,16.22
Labour productivity (per worker),Ireland,2018Q1,,,-2.07
Labour productivity (per worker),Ireland,2018Q2,-0.86,,-2.91
Labour productivity (per worker),Ireland,2018Q3,0.95,,-1.98
Labour productivity (per worker),Ireland,2018Q4,-0.21,,-2.18
Labour productivity (per worker),Ireland,2019Q1,-0.42,-0.53,-2.59
Labour productivity (per worker),Ireland,2019Q2,1.82,2.15,-0.82
Labour productivity (per worker),Ireland,2019Q3,1.81,3.01,0.97
Labour productivity (per worker),Ireland,2019Q4,-0.96,2.23,0.0
Labour productivity (per worker),Ireland,2020Q1,3.97,6.73,3.97
Labour productivity (per worker),Ireland,2020Q2,3.91,8.92,8.03
Labour productivity (per worker),Ireland,2020Q3,7.67,15.2,16.32
Labour productivity (per worker),Ireland,2020Q4,-6.31,8.99,8.99
Labour productivity (per worker),Ireland,2021Q1,13.01,18.47,23.17
Labour productivity (per worker),Ireland,2021Q2,-2.19,11.51,20.47
Labour productivity (per worker),Ireland,2021Q3,-0.39,3.16,19.99
Labour productivity (per worker),Ireland,2021Q4,-5.2,4.37,13.75
Labour productivity (per worker),Ireland,2022Q1,2.82,-5.04,16.96
Labour productivity (per worker),Ireland,2022Q2,2.16,-0.81,19.49
Labour productivity (per worker),Ireland,2022Q3,4.67,4.24,25.08
Labour productivity (per worker),Ireland,2022Q4,-2.87,6.81,21.49
Labour productivity (per worker),Ireland,2023Q1,-6.39,-2.76,13.73
Labour productivity (per worker),Ireland,2023Q2,0.14,-4.69,13.89
Labour productivity (per worker),Ireland,2023Q3,0.97,-8.06,15.0
Labour productivity (per worker),Ireland,2023Q4,-5.85,-10.88,8.27
Labour productivity (per worker),Ireland,2024Q1,2.19,-2.72,10.64
Labour productivity (per worker),Ireland,2024Q2,-1.08,-3.9,9.44
Labour productivity (per worker),Ireland,2024Q3,6.52,1.38,16.58
Labour productivity (per worker),Ireland,2024Q4,1.54,9.33,18.37
Labour productivity (per worker),Ireland,2025Q1,5.72,13.11,25.15
Labour productivity (per worker),Ireland,2025Q2,-4.24,9.51,19.85
Labour productivity (per worker),Ireland,2025Q3,1.4,4.24,21.53
Labour productivity (per worker),Ireland,2025Q4,-4.54,-2.0,16.0
Labour productivity (per worker),Ireland,2026Q1,-6.35,-13.2,8.63
Persons employed,Ireland,2018Q1,,,-5.87
Persons employed,Ireland,2018Q2,1.1,,-4.84
Persons employed,Ireland,2018Q3,0.54,,-4.32
Persons employed,Ireland,2018Q4,0.63,,-3.71
Persons employed,Ireland,2019Q1,1.61,3.94,-2.16
Persons employed,Ireland,2019Q2,-0.53,2.27,-2.68
Persons employed,Ireland,2019Q3,0.89,2.62,-1.81
Persons employed,Ireland,2019Q4,1.85,3.86,0.0
Persons employed,Ireland,2020Q1,0.17,2.38,0.17
Persons employed,Ireland,2020Q2,-9.14,-6.48,-8.98
Persons employed,Ireland,2020Q3,4.74,-2.9,-4.66
Persons employed,Ireland,2020Q4,1.9,-2.85,-2.85
Persons employed,Ireland,2021Q1,-1.51,-4.48,-4.32
Persons employed,Ireland,2021Q2,4.87,10.25,0.35
Persons employed,Ireland,2021Q3,5.08,10.6,5.44
Persons employed,Ireland,2021Q4,2.13,10.84,7.69
Persons employed,Ireland,2022Q1,0.64,13.27,8.38
Persons employed,Ireland,2022Q2,1.04,9.12,9.5
Persons employed,Ireland,2022Q3,-0.32,3.52,9.15
Persons employed,Ireland,2022Q4,1.11,2.49,10.36
Persons employed,Ireland,2023Q1,1.8,3.67,12.35
Persons employed,Ireland,2023Q2,0.46,3.08,12.87
Persons employed,Ireland,2023Q3,0.15,3.56,13.04
Persons employed,Ireland,2023Q4,0.99,3.44,14.16
Persons employed,Ireland,2024Q1,0.45,2.08,14.68
Persons employed,Ireland,2024Q2,1.05,2.68,15.89
Persons employed,Ireland,2024Q3,0.97,3.51,17.01
Persons employed,Ireland,2024Q4,0.0,2.5,17.01
Persons employed,Ireland,2025Q1,1.18,3.24,18.39
Persons employed,Ireland,2025Q2,-0.15,2.01,18.22
Persons employed,Ireland,2025Q3,-0.15,0.89,18.05
Persons employed,Ireland,2025Q4,1.02,1.92,19.26
Persons employed,Ireland,2026Q1,-0.72,0.0,18.39
Real gross value added,Ireland,2018Q1,,,-11.21
Real gross value added,Ireland,2018Q2,3.64,,-7.97
Real gross value added,Ireland,2018Q3,1.75,,-6.36
Real gross value added,Ireland,2018Q4,0.73,,-5.68
Real gross value added,Ireland,2019Q1,-1.92,4.18,-7.5
Real gross value added,Ireland,2019Q2,4.25,4.79,-3.56
Real gross value added,Ireland,2019Q3,3.0,6.08,-0.67
Real gross value added,Ireland,2019Q4,0.68,6.03,0.0
Real gross value added,Ireland,2020Q1,5.48,14.03,5.48
Real gross value added,Ireland,2020Q2,-8.17,0.45,-3.13
Real gross value added,Ireland,2020Q3,12.27,9.49,8.76
Real gross value added,Ireland,2020Q4,-2.27,6.28,6.28
Real gross value added,Ireland,2021Q1,9.93,10.77,16.84
Real gross value added,Ireland,2021Q2,1.53,22.47,18.63
Real gross value added,Ireland,2021Q3,7.78,17.56,27.86
Real gross value added,Ireland,2021Q4,-2.21,17.64,25.03
Real gross value added,Ireland,2022Q1,1.86,9.0,27.35
Real gross value added,Ireland,2022Q2,1.65,9.12,29.45
Real gross value added,Ireland,2022Q3,8.05,9.39,39.87
Real gross value added,Ireland,2022Q4,-0.51,11.29,39.15
Real gross value added,Ireland,2023Q1,-7.29,1.29,29.0
Real gross value added,Ireland,2023Q2,2.13,1.78,31.75
Real gross value added,Ireland,2023Q3,1.74,-4.17,34.04
Real gross value added,Ireland,2023Q4,-4.94,-8.43,27.41
Real gross value added,Ireland,2024Q1,1.33,0.08,29.11
Real gross value added,Ireland,2024Q2,0.66,-1.36,29.96
Real gross value added,Ireland,2024Q3,9.7,6.36,42.57
Real gross value added,Ireland,2024Q4,-1.34,10.39,40.65
Real gross value added,Ireland,2025Q1,10.14,19.99,54.91
Real gross value added,Ireland,2025Q2,-9.48,7.9,40.22
Real gross value added,Ireland,2025Q3,6.97,5.21,50.0
Real gross value added,Ireland,2025Q4,-5.46,0.82,41.81
Real gross value added,Ireland,2026Q1,-4.48,-12.55,35.46
Total hours worked,Ireland,2018Q1,,,-5.07
Total hours worked,Ireland,2018Q2,2.58,,-2.62
Total hours worked,Ireland,2018Q3,-0.95,,-3.55
Total hours worked,Ireland,2018Q4,0.96,,-2.62
Total hours worked,Ireland,2019Q1,2.26,4.9,-0.42
Total hours worked,Ireland,2019Q2,-0.34,1.91,-0.76
Total hours worked,Ireland,2019Q3,0.34,3.24,-0.42
Total hours worked,Ireland,2019Q4,0.42,2.69,0.0
Total hours worked,Ireland,2020Q1,-2.2,-1.78,-2.2
Total hours worked,Ireland,2020Q2,-21.43,-22.57,-23.16
Total hours worked,Ireland,2020Q3,22.77,-5.26,-5.66
Total hours worked,Ireland,2020Q4,-1.88,-7.44,-7.44
Total hours worked,Ireland,2021Q1,-3.56,-8.73,-10.74
Total hours worked,Ireland,2021Q2,7.58,24.97,-3.97
Total hours worked,Ireland,2021Q3,5.63,7.53,1.44
Total hours worked,Ireland,2021Q4,1.0,10.68,2.45
Total hours worked,Ireland,2022Q1,3.14,18.37,5.66
Total hours worked,Ireland,2022Q2,0.8,10.92,6.51
Total hours worked,Ireland,2022Q3,-0.87,4.08,5.58
Total hours worked,Ireland,2022Q4,0.56,3.63,6.17
Total hours worked,Ireland,2023Q1,2.95,3.44,9.3
Total hours worked,Ireland,2023Q2,-1.62,0.95,7.52
Total hours worked,Ireland,2023Q3,0.08,1.92,7.61
Total hours worked,Ireland,2023Q4,-1.1,0.24,6.42
Total hours worked,Ireland,2024Q1,2.94,0.23,9.55
Total hours worked,Ireland,2024Q2,-0.15,1.73,9.38
Total hours worked,Ireland,2024Q3,1.0,2.67,10.48
Total hours worked,Ireland,2024Q4,-0.38,3.42,10.06
Total hours worked,Ireland,2025Q1,0.69,1.16,10.82
Total hours worked,Ireland,2025Q2,0.76,2.09,11.67
Total hours worked,Ireland,2025Q3,0.0,1.07,11.67
Total hours worked,Ireland,2025Q4,0.83,2.3,12.6
Total hours worked,Ireland,2026Q1,-1.65,-0.08,10.74
Labour productivity (per hour worked),Italy,2018Q1,,,-0.16
Labour productivity (per hour worked),Italy,2018Q2,-0.84,,-1.0
Labour productivity (per hour worked),Italy,2018Q3,-0.03,,-1.02
Labour productivity (per hour worked),Italy,2018Q4,0.61,,-0.42
Labour productivity (per hour worked),Italy,2019Q1,-0.54,-0.8,-0.96
Labour productivity (per hour worked),Italy,2019Q2,1.23,1.27,0.26
Labour productivity (per hour worked),Italy,2019Q3,-0.67,0.62,-0.41
Labour productivity (per hour worked),Italy,2019Q4,0.41,0.42,0.0
Labour productivity (per hour worked),Italy,2020Q1,2.61,3.6,2.61
Labour productivity (per hour worked),Italy,2020Q2,4.06,6.5,6.78
Labour productivity (per hour worked),Italy,2020Q3,-5.35,1.48,1.06
Labour productivity (per hour worked),Italy,2020Q4,1.17,2.24,2.24
Labour productivity (per hour worked),Italy,2021Q1,0.19,-0.17,2.43
Labour productivity (per hour worked),Italy,2021Q2,-0.33,-4.38,2.1
Labour productivity (per hour worked),Italy,2021Q3,-1.31,-0.3,0.75
Labour productivity (per hour worked),Italy,2021Q4,1.31,-0.16,2.07
Labour productivity (per hour worked),Italy,2022Q1,0.11,-0.24,2.19
Labour productivity (per hour worked),Italy,2022Q2,0.21,0.3,2.4
Labour productivity (per hour worked),Italy,2022Q3,0.29,1.93,2.7
Labour productivity (per hour worked),Italy,2022Q4,-1.58,-0.98,1.08
Labour productivity (per hour worked),Italy,2023Q1,-0.66,-1.75,0.41
Labour productivity (per hour worked),Italy,2023Q2,-0.19,-2.14,0.21
Labour productivity (per hour worked),Italy,2023Q3,-0.61,-3.02,-0.4
Labour productivity (per hour worked),Italy,2023Q4,-0.89,-2.34,-1.29
Labour productivity (per hour worked),Italy,2024Q1,-0.28,-1.97,-1.57
Labour productivity (per hour worked),Italy,2024Q2,0.54,-1.25,-1.04
Labour productivity (per hour worked),Italy,2024Q3,-0.2,-0.84,-1.24
Labour productivity (per hour worked),Italy,2024Q4,-0.17,-0.12,-1.41
Labour productivity (per hour worked),Italy,2025Q1,-0.59,-0.43,-1.99
Labour productivity (per hour worked),Italy,2025Q2,0.12,-0.84,-1.87
Labour productivity (per hour worked),Italy,2025Q3,-0.58,-1.22,-2.44
Labour productivity (per hour worked),Italy,2025Q4,0.28,-0.77,-2.17
Labour productivity (per hour worked),Italy,2026Q1,0.0,-0.19,-2.17
Labour productivity (per worker),Italy,2018Q1,,,0.62
Labour productivity (per worker),Italy,2018Q2,-0.42,,0.2
Labour productivity (per worker),Italy,2018Q3,0.03,,0.23
Labour productivity (per worker),Italy,2018Q4,0.38,,0.62
Labour productivity (per worker),Italy,2019Q1,-0.12,-0.12,0.5
Labour productivity (per worker),Italy,2019Q2,-0.02,0.28,0.48
Labour productivity (per worker),Italy,2019Q3,-0.57,-0.33,-0.1
Labour productivity (per worker),Italy,2019Q4,0.1,-0.61,0.0
Labour productivity (per worker),Italy,2020Q1,-5.56,-6.03,-5.56
Labour productivity (per worker),Italy,2020Q2,-9.66,-15.09,-14.68
Labour productivity (per worker),Italy,2020Q3,13.16,-3.36,-3.46
Labour productivity (per worker),Italy,2020Q4,-0.35,-3.8,-3.8
Labour productivity (per worker),Italy,2021Q1,2.03,3.93,-1.85
Labour productivity (per worker),Italy,2021Q2,1.64,16.94,-0.24
Labour productivity (per worker),Italy,2021Q3,1.43,4.82,1.19
Labour productivity (per worker),Italy,2021Q4,1.19,6.43,2.39
Labour productivity (per worker),Italy,2022Q1,0.77,5.12,3.18
Labour productivity (per worker),Italy,2022Q2,0.4,3.84,3.6
Labour productivity (per worker),Italy,2022Q3,0.38,2.77,3.99
Labour productivity (per worker),Italy,2022Q4,-1.12,0.42,2.82
Labour productivity (per worker),Italy,2023Q1,-0.17,-0.52,2.65
Labour productivity (per worker),Italy,2023Q2,-0.06,-0.98,2.58
Labour productivity (per worker),Italy,2023Q3,-0.14,-1.49,2.44
Labour productivity (per worker),Italy,2023Q4,-0.73,-1.1,1.69
Labour productivity (per worker),Italy,2024Q1,-0.11,-1.04,1.58
Labour productivity (per worker),Italy,2024Q2,-0.24,-1.21,1.34
Labour productivity (per worker),Italy,2024Q3,-0.72,-1.79,0.6
Labour productivity (per worker),Italy,2024Q4,0.39,-0.69,0.99
Labour productivity (per worker),Italy,2025Q1,-0.25,-0.83,0.74
Labour productivity (per worker),Italy,2025Q2,0.0,-0.59,0.74
Labour productivity (per worker),Italy,2025Q3,-0.04,0.09,0.7
Labour productivity (per worker),Italy,2025Q4,-0.09,-0.38,0.61
Labour productivity (per worker),Italy,2026Q1,-0.17,-0.3,0.44
Persons employed,Italy,2018Q1,,,-0.86
Persons employed,Italy,2018Q2,0.68,,-0.19
Persons employed,Italy,2018Q3,-0.1,,-0.29
Persons employed,Italy,2018Q4,-0.1,,-0.38
Persons employed,Italy,2019Q1,0.39,0.87,0.0
Persons employed,Italy,2019Q2,0.38,0.58,0.38
Persons employed,Italy,2019Q3,0.0,0.67,0.38
Persons employed,Italy,2019Q4,-0.38,0.39,0.0
Persons employed,Italy,2020Q1,-0.1,-0.1,-0.1
Persons employed,Italy,2020Q2,-3.17,-3.64,-3.27
Persons employed,Italy,2020Q3,0.89,-2.78,-2.4
Persons employed,Italy,2020Q4,0.69,-1.73,-1.73
Persons employed,Italy,2021Q1,-0.39,-2.02,-2.11
Persons employed,Italy,2021Q2,0.88,2.09,-1.25
Persons employed,Italy,2021Q3,0.88,2.07,-0.38
Persons employed,Italy,2021Q4,0.48,1.86,0.1
Persons employed,Italy,2022Q1,-0.1,2.16,0.0
Persons employed,Italy,2022Q2,1.15,2.43,1.15
Persons employed,Italy,2022Q3,-0.19,1.35,0.96
Persons employed,Italy,2022Q4,0.86,1.73,1.83
Persons employed,Italy,2023Q1,0.75,2.59,2.59
Persons employed,Italy,2023Q2,0.09,1.52,2.69
Persons employed,Italy,2023Q3,0.28,2.0,2.98
Persons employed,Italy,2023Q4,1.03,2.17,4.03
Persons employed,Italy,2024Q1,0.18,1.59,4.23
Persons employed,Italy,2024Q2,0.46,1.96,4.71
Persons employed,Italy,2024Q3,0.73,2.43,5.48
Persons employed,Italy,2024Q4,-0.27,1.11,5.19
Persons employed,Italy,2025Q1,0.55,1.47,5.76
Persons employed,Italy,2025Q2,0.09,1.1,5.86
Persons employed,Italy,2025Q3,0.27,0.64,6.15
Persons employed,Italy,2025Q4,0.36,1.28,6.53
Persons employed,Italy,2026Q1,0.45,1.18,7.01
Real gross value added,Italy,2018Q1,,,-0.87
Real gross value added,Italy,2018Q2,0.3,,-0.57
Real gross value added,Italy,2018Q3,0.0,,-0.57
Real gross value added,Italy,2018Q4,0.27,,-0.3
Real gross value added,Italy,2019Q1,0.27,0.85,-0.03
Real gross value added,Italy,2019Q2,0.44,0.99,0.41
Real gross value added,Italy,2019Q3,-0.35,0.63,0.05
Real gross value added,Italy,2019Q4,-0.05,0.3,0.0
Real gross value added,Italy,2020Q1,-5.46,-5.43,-5.46
Real gross value added,Italy,2020Q2,-12.34,-17.46,-17.13
Real gross value added,Italy,2020Q3,14.17,-5.44,-5.39
Real gross value added,Italy,2020Q4,0.2,-5.2,-5.2
Real gross value added,Italy,2021Q1,1.77,2.05,-3.53
Real gross value added,Italy,2021Q2,2.34,19.14,-1.26
Real gross value added,Italy,2021Q3,2.47,6.94,1.18
Real gross value added,Italy,2021Q4,1.6,8.44,2.8
Real gross value added,Italy,2022Q1,0.7,7.3,3.52
